id;id_exhibition;id_location
5491;3;266
4242;4;286
854;5;5
6318;7;324
1035;8;7
1036;9;8
515;10;273
6965;12;9
858;13;5
6015;14;286
3067;16;30
3702;17;319
6024;18;422
1037;19;272
838;20;5
6814;22;318
6034;23;423
6363;24;16
1039;25;5
5712;26;393
4686;27;17
4687;28;351
4546;29;272
5521;30;285
847;31;5
1042;32;19
1043;33;20
4478;34;286
6853;35;21
4362;37;23
932;38;5
4990;39;24
4366;41;23
7014;44;7
535;46;273
1047;47;28
6022;48;286
6296;49;354
6379;50;19
6025;51;422
1049;52;265
3700;53;319
6033;54;30
2196;55;31
5635;58;387
5634;58;388
6035;59;423
1050;60;30
1051;61;30
576;62;173
6037;63;278
1052;64;272
1053;65;266
6374;67;292
5362;68;285
1054;69;30
1055;70;272
6040;71;286
967;72;30
5723;73;36
3737;74;37
616;75;265
934;76;5
3699;77;319
7031;79;173
6043;80;424
2193;81;328
1059;82;27
6414;84;30
983;85;5
6419;86;30
4475;87;8
5548;88;323
4641;89;19
3698;90;188
4380;91;23
3107;92;320
6046;93;273
1064;94;39
6026;95;422
3745;96;265
3707;97;319
4902;98;30
6048;100;293
1013;101;18
3790;102;181
3791;103;336
6411;104;30
1070;105;19
991;108;30
1562;109;318
979;110;5
3708;111;188
4648;113;272
6036;114;423
627;115;277
6931;117;43
6053;118;278
1073;119;30
1074;120;30
1075;121;30
3792;122;44
6298;123;45
6055;125;425
2527;126;319
4544;127;272
2197;128;324
5773;129;285
1079;130;46
6445;131;19
1081;132;30
1082;133;265
3709;134;188
6432;135;46
1084;136;30
2629;137;189
2872;138;189
6060;141;47
1085;142;30
1086;143;19
7016;144;5
573;147;49
5411;148;26
5412;148;383
6453;149;30
6063;150;50
3262;151;273
1089;152;30
6065;153;422
1090;154;265
5483;155;272
6069;157;47
6073;158;427
1091;160;30
4093;162;286
4627;163;368
2212;164;324
3794;165;336
4080;168;278
6352;169;30
7019;171;5
569;172;53
2873;173;188
6915;174;288
3796;176;44
5563;178;265
5782;179;285
6446;180;30
1099;181;19
1100;182;55
1101;183;30
5564;184;19
1103;185;30
629;186;265
1104;187;56
7020;188;5
3203;189;30
6530;190;57
7021;191;19
3753;193;319
6691;196;168
6076;197;428
3714;198;319
1110;199;59
1111;200;19
7022;201;5
4947;203;60
3713;204;188
1115;205;30
1116;206;61
5489;207;265
6080;208;205
6081;208;429
3301;209;19
6089;210;273
5492;211;265
1119;213;30
6027;214;422
6093;215;47
3893;216;64
2202;217;324
3798;220;336
6095;221;427
6621;222;66
6813;223;318
6097;225;368
1122;226;30
6916;228;391
3892;230;67
7023;231;5
1124;232;68
6680;233;53
3313;234;30
3312;234;39
4542;235;288
5659;236;356
5787;238;181
915;239;72
4402;240;23
5354;241;285
1130;242;30
1131;243;19
6625;244;46
4748;245;265
6959;246;73
6960;246;270
1134;247;19
1135;261;78
2804;262;188
1137;264;30
1138;265;19
6322;267;324
5555;270;30
2785;271;19
6070;272;47
6606;273;80
1141;275;30
3460;277;273
1142;278;81
6028;279;422
5493;280;265
4584;281;47
6085;282;205
6084;282;429
3717;283;190
6610;284;19
6811;287;318
6821;288;336
7027;289;5
5494;290;84
2217;291;324
3758;292;188
1148;294;30
1149;295;19
6983;296;21
5726;299;85
1151;300;19
3327;301;30
4894;302;278
1153;303;19
3379;305;30
5749;306;173
1156;307;30
4540;308;272
4953;310;53
6008;311;310
4647;312;86
5485;313;78
5969;314;73
5970;314;270
5562;315;173
5355;317;285
6810;318;84
1161;319;30
4934;320;27
4654;321;286
4655;321;359
4338;322;265
1163;323;19
1164;324;87
7013;325;47
1165;328;19
1166;329;30
4935;334;27
2203;335;324
1168;337;30
5179;338;269
5209;339;84
3648;341;30
6071;342;47
98;343;27
696;344;89
3633;347;19
4562;348;273
1172;349;265
3645;352;30
6604;354;80
6086;355;205
6087;355;429
3754;356;188
6029;358;422
3628;359;19
6974;360;21
5599;361;336
5243;363;278
1177;365;30
5103;366;361
5793;367;60
1456;368;64
5653;369;376
5654;369;390
3649;370;30
3640;371;53
5486;372;95
2991;373;190
5753;374;272
1180;375;30
977;376;288
3823;378;334
3813;379;30
6808;380;80
5425;381;361
5101;382;27
5359;383;285
4332;384;364
1184;385;30
1185;386;27
1460;387;89
578;388;265
3757;389;190
2841;390;349
2840;390;350
5161;391;269
3644;392;19
5408;393;313
6299;394;96
6300;394;221
3622;395;19
112;397;27
1457;398;64
6956;399;73
6957;399;270
6961;400;73
6708;401;97
1190;402;30
3650;403;19
4536;405;272
5193;407;86
3609;409;99
3007;412;190
4038;413;18
117;415;27
2373;416;324
2372;416;329
2374;416;335
4429;417;23
5276;418;269
1195;420;19
5862;421;73
5863;421;102
5221;422;103
5666;424;266
1198;425;19
5715;426;30
3880;429;104
5212;430;313
2214;431;324
6308;432;105
3620;433;273
5571;434;30
6072;436;47
6030;437;422
1203;438;265
4638;441;107
1204;442;27
4871;443;108
4430;444;23
6013;445;380
5717;446;140
6971;447;17
3587;449;30
3582;450;19
5672;451;110
4535;452;89
6934;453;318
6952;454;21
1211;455;19
5178;456;140
1212;457;27
6672;458;104
6137;459;338
5718;461;114
5972;462;310
6666;463;30
5416;464;361
6682;465;53
1217;466;221
3586;467;30
5754;468;272
5303;472;381
5333;473;117
4962;474;118
4960;474;140
4961;474;371
5458;475;24
5456;475;140
5457;475;371
5441;476;140
5442;476;226
5443;476;371
6135;477;73
6133;477;140
6134;477;371
1222;479;85
5468;480;73
5469;480;140
4836;481;140
5247;482;24
5246;482;140
6323;483;329
2474;484;339
5226;485;103
4561;487;27
5360;488;285
4534;489;87
5675;490;364
3466;491;121
5577;492;30
869;493;265
3147;494;188
4635;495;140
5616;497;336
1231;498;19
887;499;30
1232;500;19
1233;501;123
4009;503;64
509;505;124
5755;507;272
1235;510;85
6561;511;85
2621;512;347
1237;513;27
871;514;107
3184;515;125
5263;516;361
5090;517;64
4946;518;27
4827;519;140
4826;519;188
4440;521;23
3196;522;286
3548;524;5
1242;525;27
1243;527;30
5177;528;140
1245;529;107
6436;531;128
4446;532;23
1247;533;19
6221;534;267
4294;535;140
3255;537;190
4449;538;23
5736;539;129
7007;540;122
7008;540;140
463;541;124
1251;545;27
1252;546;273
4211;547;278
5331;549;103
5330;549;381
5317;550;140
6139;551;47
6031;552;422
4629;553;265
6222;554;267
6540;555;19
2110;556;132
4290;557;190
2365;558;324
3553;561;30
4645;562;19
6658;563;103
6946;565;21
3549;566;19
6324;569;329
5379;570;380
5737;574;173
3554;575;30
6845;576;139
4726;577;140
3985;578;121
1268;579;27
4885;580;302
4530;581;272
5348;582;103
5281;585;103
4630;586;369
4725;588;140
3410;589;190
1272;590;141
6990;591;140
3799;592;125
4253;593;140
1275;594;107
1276;595;143
5484;596;361
3578;597;53
1278;598;86
1279;599;168
5993;600;176
3977;601;30
2082;602;147
1283;603;107
1284;604;27
4356;606;290
6994;607;150
5682;609;364
5358;610;285
3562;611;19
6649;613;140
6664;614;143
4459;616;23
5592;617;30
5636;618;264
4532;619;272
6535;620;152
4639;623;107
6338;625;86
916;627;124
919;628;153
882;630;30
5291;635;107
3577;636;190
3485;637;324
2207;638;329
6998;639;156
4463;640;23
5496;645;26
1296;646;157
1297;647;19
1298;648;19
5481;649;361
6319;650;108
6032;652;422
876;654;273
6887;656;140
4323;657;107
1301;658;19
1302;659;161
1303;660;162
4468;661;140
5994;662;176
6284;663;156
5742;665;163
1308;668;107
5751;669;108
1310;670;19
6942;672;318
6972;673;21
1311;674;27
6910;675;197
2211;677;324
5610;678;336
5740;680;165
5388;681;161
4963;682;311
6330;684;167
955;686;30
954;686;39
6705;688;168
4259;691;140
5387;692;143
4528;693;272
899;694;30
890;696;171
896;697;164
1318;698;27
1319;699;103
1320;700;161
4054;701;172
1322;702;164
7015;704;140
1324;705;157
5750;706;336
3652;709;272
5694;710;392
924;711;124
2559;712;147
4683;715;157
6406;720;108
1328;724;176
2240;726;265
553;728;18
6312;729;108
1330;731;157
4330;733;363
6044;734;30
6068;735;181
6077;736;17
6094;737;430
6789;747;192
6790;747;198
6791;747;199
6792;747;200
6104;749;192
5985;753;140
6801;757;192
6802;757;198
6803;757;199
6804;757;200
6793;758;192
6794;758;198
6795;758;199
6796;758;200
6834;759;192
6835;759;198
6836;759;199
6837;759;200
5892;760;201
5891;760;270
5902;761;86
5901;761;270
5982;763;140
5983;763;204
5874;764;71
5875;764;140
7011;765;269
4988;766;269
4527;767;269
6997;777;386
6002;782;214
6058;785;124
6059;785;426
6074;787;219
6090;789;39
5474;790;219
6962;794;221
1348;795;87
6045;796;278
4526;797;269
4876;798;140
5998;801;140
4874;803;140
4739;808;140
4744;809;140
4327;810;140
1355;811;19
1356;812;19
6054;815;46
5472;820;168
5466;822;140
5467;822;227
2025;829;46
6067;830;30
6062;831;19
6051;834;166
4644;835;19
1359;837;219
3821;838;19
6078;858;19
1360;863;46
1361;864;28
4477;865;30
1363;866;46
1364;868;241
6291;873;323
6047;881;243
1365;882;27
1366;883;27
1367;884;27
1368;885;27
6954;889;27
1370;891;27
1371;892;27
4906;893;27
1373;895;27
1374;896;27
4916;897;27
6096;898;27
16;899;27
18;901;27
21;902;27
1376;903;27
1377;906;27
1378;907;27
1379;908;27
5302;909;381
4917;910;27
31;911;27
33;913;27
3952;914;269
36;915;27
1380;919;27
38;920;27
7012;921;27
5033;923;27
4919;924;27
2810;925;190
4950;926;27
1384;927;27
1385;928;27
55;929;27
57;930;27
5927;931;27
5928;931;270
100;932;27
4936;933;27
5040;935;27
7032;936;27
114;937;27
119;938;27
4945;939;27
7033;940;27
1387;941;27
1388;942;27
1389;943;27
1390;944;27
1391;945;27
326;946;27
1392;947;27
5015;948;27
5016;949;27
6021;950;27
1395;952;27
1396;953;27
4579;954;27
1398;955;27
6041;956;27
6042;956;265
6088;958;278
3816;959;39
2113;960;278
3257;961;355
1400;962;27
1401;963;27
1402;964;27
5026;965;27
1404;966;27
4661;967;278
4662;967;282
5074;968;266
6106;969;265
6987;970;27
1407;971;27
1408;973;27
1409;974;27
5730;976;27
1411;977;27
6061;978;27
6064;979;27
6066;980;27
1412;981;27
5731;982;27
6986;983;27
6017;984;176
6018;984;421
2814;986;190
4391;988;23
1415;989;23
4377;990;23
1006;991;108
5507;992;278
5506;992;282
2908;993;190
2921;994;190
3766;996;190
6303;997;179
5621;998;89
4344;999;27
4345;1000;27
1418;1001;27
3568;1002;188
6984;1003;27
148;1004;27
6985;1005;27
3452;1006;190
452;1007;89
1018;1008;89
3777;1009;190
1010;1010;18
47;1011;190
2835;1012;190
3759;1016;190
4383;1017;23
2956;1018;190
3011;1019;190
3755;1021;190
541;1022;18
5729;1024;27
2933;1025;190
139;1026;27
3756;1027;190
539;1028;55
150;1029;272
6052;1030;321
3009;1031;190
3760;1032;190
3761;1033;190
189;1034;278
3077;1035;190
4884;1036;140
4159;1037;278
544;1038;278
3611;1039;190
4252;1040;140
4573;1041;264
3767;1042;125
523;1043;64
557;1044;64
4999;1045;269
4524;1046;67
4525;1046;272
6935;1047;279
6936;1047;280
3259;1048;309
1430;1049;67
1431;1049;272
5250;1050;269
476;1052;64
4523;1053;272
628;1054;278
3716;1055;190
3174;1056;125
4892;1057;86
4893;1057;283
3176;1058;125
4560;1059;278
3230;1060;125
579;1061;286
3400;1062;125
3402;1063;125
3797;1064;125
455;1065;5
466;1067;64
3572;1068;125
4234;1069;18
3625;1070;125
3664;1071;125
3741;1072;166
4889;1073;289
436;1075;159
894;1076;164
3667;1077;188
3668;1078;188
3674;1079;188
862;1080;9
3673;1081;188
3559;1083;121
3560;1083;323
2867;1084;188
836;1085;5
971;1086;28
679;1087;64
5984;1088;140
974;1089;28
975;1090;28
959;1091;241
1466;1092;89
2721;1093;315
741;1094;89
3072;1095;39
801;1096;64
4887;1097;19
985;1098;5
4405;1099;23
791;1100;23
878;1101;114
803;1102;64
3472;1104;314
6019;1105;23
3051;1106;190
3715;1108;188
6102;1109;108
1471;1110;272
4367;1111;23
4378;1112;23
4389;1113;23
3563;1114;19
3253;1115;30
3252;1115;317
4559;1116;23
4390;1117;23
4397;1118;23
4226;1119;269
4273;1120;269
1539;1121;88
4274;1122;269
3249;1123;30
2870;1124;188
3675;1125;188
3603;1126;319
4486;1127;269
3112;1128;30
4679;1129;269
4190;1130;269
3198;1131;39
4928;1132;324
4930;1133;324
4931;1134;324
4521;1135;269
3546;1136;321
4531;1137;269
6321;1138;324
4558;1139;324
4966;1140;269
4967;1140;322
5112;1141;324
6075;1142;269
2215;1143;324
4681;1144;269
1865;1145;19
1866;1146;19
3297;1147;19
4670;1148;269
4708;1149;269
5072;1150;269
2795;1151;324
2200;1152;324
2791;1153;324
3287;1154;321
1971;1155;321
